paper,subject,year,question_text,option_a,option_b,option_c,option_d,correct_option,solution,explanation,is_active,order
paper-2,Database Management Systems,2023,"SQL command to remove a table structure is:",DELETE,DROP,TRUNCATE,REMOVE,B,"DROP removes table definition.","DELETE/TRUNCATE remove rows; DROP removes table itself.",true,21
paper-2,Database Management Systems,2021,"ACID property ensuring all-or-nothing is:",Consistency,Isolation,Atomicity,Durability,C,"Atomicity means transaction complete or rollback.","No partial transaction state is committed.",true,22
paper-2,System Software and Operating System,2024,"A process in ready queue is:",Executing,Waiting for I/O,Ready to use CPU,Terminated,C,"Ready means awaiting CPU.","It has resources except processor time.",true,23
paper-2,System Software and Operating System,2023,"Deadlock requires:",Only one process,Circular wait among processes,Infinite memory,Single CPU only,B,"Circular wait is one Coffman condition.","Deadlock occurs when conditions like mutual exclusion and circular wait coexist.",true,24
paper-2,System Software and Operating System,2022,"Paging helps in:",Reducing compile time,Memory management,Network routing,Disk formatting,B,"Paging is a memory management technique.","It maps virtual pages to physical frames.",true,25
paper-2,Software Engineering,2024,"Requirement traceability helps to:",Increase bugs only,Map requirements to implementation and tests,Replace coding,Avoid documentation,B,"Traceability links lifecycle artifacts.","It ensures each requirement is implemented and verified.",true,26
paper-2,Software Engineering,2023,"Black-box testing is based on:",Internal code structure,External behavior/specification,Developer mood,Compiler version,B,"Black-box ignores internal code.","Tests are derived from inputs/outputs and requirements.",true,27
paper-2,Software Engineering,2021,"Agile development emphasizes:",Rigid upfront planning,Iterative delivery and feedback,No testing,No customer involvement,B,"Agile is iterative and adaptive.","Frequent increments and customer collaboration are key principles.",true,28
paper-2,Data Structures and Algorithms,2024,"Time complexity of binary search is:",O(n),O(log n),O(n log n),O(1),B,"Binary search halves search space.","Each step reduces candidates by half, giving logarithmic time.",true,29
paper-2,Data Structures and Algorithms,2023,"Which sort is stable in common implementation?",Selection sort,Quick sort,Merge sort,Heap sort,C,"Merge sort preserves order of equal keys.","Stability means equal elements retain relative order.",true,30
paper-2,Data Structures and Algorithms,2022,"Worst-case complexity of quicksort is:",O(log n),O(n),O(n log n),O(n^2),D,"Bad pivots can create unbalanced partitions.","In worst-case, recursion depth becomes n.",true,31
paper-2,Theory of Computation and Compilers,2024,"Language accepted by DFA is:",Context-sensitive,Regular,Context-free,Recursively enumerable,B,"DFAs recognize regular languages.","Finite automata have no stack or tape memory.",true,32
paper-2,Theory of Computation and Compilers,2023,"A grammar with productions A->aA|epsilon is:",Regular grammar only,Context-free grammar,Unrestricted grammar,Type-0 only,B,"Every regular grammar is context-free.","This production set is in CFG form and also right-linear.",true,33
paper-2,Theory of Computation and Compilers,2022,"Lexical analysis phase produces:",Parse tree,Tokens,Object code,Executable,B,"Lexer converts characters into tokens.","Tokens are consumed by parser in next phase.",true,34
paper-2,"Data Communication and Computer Networks",2024,"Which protocol resolves IP to MAC in LAN?",RARP,ARP,ICMP,DNS,B,"ARP maps IP to hardware address.","Hosts use ARP request/reply to discover MAC.",true,35
paper-2,"Data Communication and Computer Networks",2023,"Default port of HTTPS is:",21,80,443,25,C,"HTTPS commonly uses port 443.","Secure web traffic is standardized on TCP 443.",true,36
paper-2,"Data Communication and Computer Networks",2022,"Which topology has a central hub/switch?",Bus,Ring,Star,Mesh,C,"Star topology uses central node.","All nodes connect to one central device.",true,37
paper-2,Artificial Intelligence,2024,"In AI, BFS guarantees shortest path when:",Edge costs are uniform,Heuristic is admissible,Graph is weighted negatively,Depth is unknown,A,"BFS optimal for unweighted graphs.","It explores level by level, giving minimum edges path.",true,38
paper-2,Artificial Intelligence,2023,"A knowledge base in expert systems stores:",Only images,Domain facts and rules,Only source code,Only logs,B,"Expert systems rely on facts and inference rules.","Reasoning engine applies rules on stored knowledge.",true,39
paper-2,Artificial Intelligence,2022,"Fuzzy logic differs from classical logic because it uses:",Binary truth only,Degrees of truth,No truth values,Random truth,B,"Fuzzy sets allow partial membership.","Truth can range from 0 to 1 rather than only 0 or 1.",true,40
